Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Landes-FS: SF Bachem-Rimlingen - SV Wahlen-Niederlosheim,31.07.2015,19:00,31.07.2015,20:30,false,"Saison 15/16 Freundschaftsspiel Landes-FS: SF Bachem-Rimlingen - SV Wahlen-Niederlosheim, Losheim am See, Spielstätte: Bachem, Kunstrasen","66679 Losheim am See, Quellenstr.",false
Verbandsliga: FC Brotdorf - SV Wahlen-Niederlosheim,08.08.2015,16:00,08.08.2015,17:30,false,"Saison 15/16 Meisterschaft Verbandsliga: FC Brotdorf - SV Wahlen-Niederlosheim, Merzig, Spielstätte: Brotdorf, Kunstrasenplatz","66663 Merzig, Hausbacher Str.",false
Verbandsliga: SV Wahlen-Niederlosheim - SC Großrosseln,16.08.2015,15:00,16.08.2015,16:30,false,"Saison 15/16 Meisterschaft Verbandsliga: SV Wahlen-Niederlosheim - SC Großrosseln, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
Verbandsliga: SV Wahlen-Niederlosheim - SV Auersmacher 2,22.08.2015,17:00,22.08.2015,18:30,false,"Saison 15/16 Meisterschaft Verbandsliga: SV Wahlen-Niederlosheim - SV Auersmacher 2, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
Verbandsliga: FSG 08 Bous - SV Wahlen-Niederlosheim,30.08.2015,15:00,30.08.2015,16:30,false,"Saison 15/16 Meisterschaft Verbandsliga: FSG 08 Bous - SV Wahlen-Niederlosheim, Bous, Spielstätte: Bous, Rasenplatz","66359 Bous, Germanenweg",false
Verbandsliga: SV Wahlen-Niederlosheim - SV Klarenthal,06.09.2015,15:00,06.09.2015,16:30,false,"Saison 15/16 Meisterschaft Verbandsliga: SV Wahlen-Niederlosheim - SV Klarenthal, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
Verbandsliga: FV 08 Püttlingen - SV Wahlen-Niederlosheim,13.09.2015,15:00,13.09.2015,16:30,false,"Saison 15/16 Meisterschaft Verbandsliga: FV 08 Püttlingen - SV Wahlen-Niederlosheim, Püttlingen, Spielstätte: Püttlingen, Rasenplatz FV","66346 Püttlingen, Am Jungenwald",false
Verbandsliga: SV Wahlen-Niederlosheim - TuS Beaumarais,20.09.2015,15:00,20.09.2015,16:30,false,"Saison 15/16 Meisterschaft Verbandsliga: SV Wahlen-Niederlosheim - TuS Beaumarais, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
Verbandsliga: SG Rehlingen-Fremersdorf - SV Wahlen-Niederlosheim,27.09.2015,16:00,27.09.2015,17:30,false,"Saison 15/16 Meisterschaft Verbandsliga: SG Rehlingen-Fremersdorf - SV Wahlen-Niederlosheim, Rehlingen-Siersburg, Spielstätte: Rehlingen, Rasenplatz","66780 Rehlingen-Siersburg, Beckinger Str.",false
Verbandsliga: SV Wahlen-Niederlosheim - SV Karlsbrunn,04.10.2015,15:00,04.10.2015,16:30,false,"Saison 15/16 Meisterschaft Verbandsliga: SV Wahlen-Niederlosheim - SV Karlsbrunn, Losheim am See, Spielstätte: Wahlen, Rasenplatz","66679 Losheim am See, Am Sportplatz",false
